Z110;P2-13A;RM-CLT-1.2X30;551;;1;N1P1;P110;Process;Others;5.900;KG;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;P2-13A;PW935246-SG;551;;1;N1P1;P120;Process;THREAD NG;6.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;P2-30A;PW933721-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010725
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010725
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;6.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010725
