Z110;D87A;RM-CLG-0.8X44.5;551;;1;N1RF2;P110;Process;Hump;1.000;KG;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009961
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009961
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009961
