Z110;D74A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Others;1.200;KG;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-30A;PW933795-96-SG;551;;1;N1P1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12105;223210009997
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-27;2024-08-23;IPS12101;223210009997
