Z110;P2-30A;RM-CLT-1.6X245;551;;1;N1P1;P110;Process;Others;9.000;KG;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;D20N;67458-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;P2-13A;PW935245-SG;551;;1;N1P1;P120;Process;THREAD NG;13.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;D87A;67467-BZ170-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12105;223210010013
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12101;223210010013
Z210;P2-30A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12101;223210010013
Z210;P2-30A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;Shamratul Nahar Mohammad;2024-08-30;2024-08-26;IPS12101;223210010013
