Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;27.100;KG;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12105;223210010166
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12105;223210010166
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Bending NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Setting;Body NG;5.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Setting;Body NG;5.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Setting;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Setting;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-30;2024-09-27;IPS12101;223210010166
