Z110;D63D;RM-CLT-0.9X249;551;;1;N1P1;P110;Process;Others;3.000;KG;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12105;223210010369
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12105;223210010369
Z210;P2-30A;PW933725-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12105;223210010369
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Setting;Bending NG;5.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010369
