Z110;D20N;RM-CLG-0.8X44.5;551;;1;N1RF2;P110;Process;Hump;2.000;KG;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12105;223210008660
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12105;223210008660
Z210;P2-13A;PW935503-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12105;223210008660
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Bending NG;2.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-12-20;2023-12-15;IPS12101;223210008660
