Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Dented;26.100;KG;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12105;223210007870
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Setting;Body NG;4.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-30A;PW933795-96-SG;551;;1;N1P1;P120;Setting;Body NG;4.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12105;223210007870
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-07-26;2023-07-25;IPS12101;223210007870
