Z110;D27A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Dented;2.000;KG;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935103-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12105;223210007669
Z210;P2-13A;PW935104-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12105;223210007669
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12105;223210007669
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;24.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;24.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-06-20;2023-06-15;IPS12101;223210007669
