Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12105;223210010233
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Crimping NG;4.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-15;2024-10-08;IPS12101;223210010233
